zahra,5,20,11,19.75,14,10,12.75,19.5,13,16		
sara,6,20,11,9.5,17,10,20,12.75,19.5,13,16	
maryam,9,20,18,9,17,10,20,12.75,19.5,13,16	
fatemeh,9,20,17,6,17,10,20,12.75,19.5,13,16			
mary,9,20,17,5,17,10,20,12.75,19.5,13,16	
Negin,9,20,17,5,16,10,20,12.75,19.5,13,16	
Faezeh,9,20,18,5,15,10,20,12.75,19.5,13,16	
Niloofar,14,20,18,5,15,10,20,12.75,19.5,13,16		
shaghayegh,14,20,18,5,14,10,20,12.75,19.5,13,16		
layla,17,20,18,8,15,10,20,12.75,19.5,13,16	
bahar,15,20,16,5,5,10,20,12.75,19.5,13,16		
mehrnaz,4,20,15,1,11,10,20,12.75,19.5,13,16		
mina,14,20,15,4,18,10,20,12.75,19.5,13,16		
Ayesha,4,20,10,15.5,18,10,20,12.75,19.5,13,16		
Mandana,5,20,20,12.75,17,10,20,12.75,19.5,13,16		
pani,5,20,15,19.75,17,10,20,12.75,19.5,13,16	
Tsarina,16,20,15,15.5,17,10,20,12.75,19.5,13,16			
mitra,15,20,14,15.5,11,10,20,12.75,19.5,13,16	
rozhin,17,20,12,15.5,18,10,20,12.75,19.5,13,16	
angel,19,20,12,14.5,17,10,20,12.75,19.5,13,16		
Kimia,18,20,10,9.5,14,10,20,12.75,19.5,13,16	
Della,18,20,14,7.5,14,10,20,12.75,19.5,13,16			
Qazal,18,20,10,4.5,10,10,20,12.75,19.5,13,16		
Gouya,18,20,4,8.5,12,10,20,12.75,19.5,13,16		
neda,18,20,4,9.5,11,10,20,12.75,19.5,13,16	
azin,17,20,4,9.5,10,10,20,12.75,19.5,13,16			
mania,17,20,5,9.5,10,10,20,12.75,19.5,13,16		
Parastoo,17,20,20,9.5,10,10,20,12.75,19.5,13,16			
Yac,15.5,20,20,9.5,12,10,20,12.75,19.5,13,16	
farahnaz,15,20,10,9,14,15,20,12.75,19.5,13,16	
mobina,15,20,10,9,15,15,20,12.75,19.5,13,16		
Saba,17,20,10,9,17,15,20,12.75,19.5,13,16
arezu,15,20,10,9,17,15,20,12.75,19.5,13,16
Nilou,19,20,10,9,15.5,15,13.75,20,12.75,19.5,12.75,19.5,13,16
shamim,17,20,10,5,15.6,15,16.75,13.75,20,12.75,19.5,13,16		
donya,15.5,20,10,15.5,16.75,15,16.75,13.75,20,12.75,19.5,13,16	
raha,15,20,10,15.5,16.5,15,16.75,13.75,20,12.75,19.5,13,16	
Ada,15,20,10,15.5,16.5,15,16.75,13.75,20,12.75,19.75,13,16	
Hani,14,20,10,17.5,16,15,16.75,13.75,20,12.75,19.5,13,16
Sarah,4,20,10,15.5,16,15,16.75,13.75,20,12.75,19.5,13,16		
Maral,5,20,6,15.5,14,15,16.75,13.75,20,12.75,19.5,13,16
Parinaz,3,20,5,14.5,17,15,16.75,13.75,20,12.75,19.5,13,16	
Fateme,6,20,8,14.5,17,15,16.75,13.75,20,12.75,19.5,13,16		
mohadeseh,7,20,8,11.5,17,13.75,16.75,13.75,20,12.75,19.5,13,16		
Sabs,8,20,8,12.5,18,13.75,16.75,13.75,20,12.75,19.5,13,16	
Armita,9,20,9,13.5,18,13.75,16.75,13.75,20,12.75,19.5,13,16		
lili,6,20,8,14.5,16,13.75,16.75,13.75,20,12.75,19.5,13,16	
nina,5,20,8,15.5,15,13.75,16.75,13.75,20,12.75,19.5,13,16
sima,17,20,8,15.5,15,13.75,16.75,13.75,20,12.75,19.5,13,16	
Eli,14,20,9,15.75,14,13.75,16.75,13.75,20,12.75,19.5,13,16
raheleh,14,20,4,15.75,14,13.75,16.75,13.75,20,12.75,19.5,13,16	
Aeen,15.75,20,2,15,14,13.75,16.75,13.75,20,12.75,19.5,13,16
haniye,12.25,20,2,15.5,15,13.75,16.75,13.75,20,12.75,19.5,13,16		
Niki,14.5,20,2,15,13,13.75,16.75,13.75,20,12.75,19.5,13,16
Sarina,11.5,20,2,15.5,13,13.75,16.75,13.75,20,12.75,19.5,13,16	
Baran,11.5,20,1,17.5,13,13.75,16.75,13.75,20,12.75,19.5,13,16
mari,11,20,4,15.5,11,13.75,16.75,13.75,20,12.75,19.5,13,16
Parisa,14,20,1,18.5,15,13.75,16.75,13.75,20,12.75,19.5,13,16		
Mojan,15,20,4,15.75,19,13.75,16.75,13.75,20,12.75,19.5,13,16	
SAEDEH,13,20,4,17.5,15,13.75,16.75,13.75,20,12.75,19.5,13,16
Asal,14,20,4,18.5,10,13.75,16.75,13.75,20,12.75,19.5,13,16		
Mahdie,15,20,5,19.5,18,13.75,16.75,13,20,12.75,19.5,13,16	
